# %ECSV 0.9
# ---
# datatype:
# - {name: period, datatype: int32, description: ESO observing period}
# - {name: night, datatype: string, description: observing night}
# - {name: internal, datatype: bool, description: flag for internal instrument calibration}
# - {name: slew, datatype: bool, description: flag for non-tracking observations}
# - {name: object, datatype: string, description: name of the observed object}
# - {name: target, datatype: string, description: name of the astronomical target}
# - name: ra
#   unit: deg
#   datatype: float64
#   description: Right Ascension FK5 J2000
#   meta: !!omap
#   - {ucd: pos.eq.ra;meta.main}
# - name: dec
#   unit: deg
#   datatype: float64
#   description: Declination FK5 J2000
#   meta: !!omap
#   - {ucd: pos.eq.dec;meta.main}
# - {name: telescope, datatype: string, description: telescope name}
# - {name: instrument, datatype: string, description: instrument name}
# - {name: prog_id, datatype: string, description: ESO programme ID}
# - {name: pi, datatype: string, description: name of the principal investigator}
# - {name: dp_cat, datatype: string, description: purpose of observation}
# - {name: dp_tech, datatype: string, description: observing technique}
# - {name: dp_type, datatype: string, description: type of exposure}
# - {name: exposure, unit: s, datatype: float32, format: .1f, description: cumulated exposure time}
# - {name: filter_path, datatype: string, description: list of filtres in the optical path}
# - {name: ob_name, datatype: string, description: name of the observing block}
# - {name: ob_id, datatype: int32, description: observing block ID number}
# - {name: tel_airm, datatype: float32, format: .2f, description: reported airmass during the exposure}
# - {name: tel_ambi_fwhm, unit: arcsec, datatype: float32, format: .2f, description: reported DIMM seeing during the exposure}
# - {name: ob_no, datatype: int32, description: unique OB number within the night}
# - {name: ob_start, datatype: string, description: estimated start time of the execution of the OB}
# - {name: ob_end, datatype: string, description: estimated end time of the execution of the OB}
# - {name: tpl_no, datatype: int32, description: template number within OB}
# - {name: tpl_start, datatype: string, description: time at start of observing template}
# - {name: tpl_end, datatype: string, description: estimated end time of the execution of the observing template}
# - {name: exp_no, datatype: int32, description: exposure number within template}
# - {name: exp_start, datatype: string, description: time at start of exposure}
# - {name: exp_end, datatype: string, description: estimated end time of the exposure}
# - {name: night_hours, unit: h, datatype: float64, format: .3f, description: number of hours of night conditions}
# - {name: dark_hours, unit: h, datatype: float64, format: .3f, description: number of hours of dark conditions}
# - {name: astronomical_twilight_hours, unit: h, datatype: float64, format: .3f, description: number of hours of astronomicaltwilight
#     conditions}
# - {name: nautical_twilight_hours, unit: h, datatype: float64, format: .3f, description: number of hours of nauticaltwilight conditions}
# - {name: civil_twilight_hours, unit: h, datatype: float64, format: .3f, description: number of hours of civiltwilight conditions}
# - {name: sun_down_hours, unit: h, datatype: float64, format: .3f, description: number of hours of sundown conditions}
# - {name: total_hours, unit: h, datatype: float64, format: .3f, description: number of hours}
# meta: !!omap
# - {site: La Silla Observatory}
# - {lon: -70.73000000000005}
# - {lat: -29.25666666666666}
# - {alt: 2346.999999998842}
# - {telescope: ESO-2.2m}
# - {period: 106}
# - {night: '2021-01-15'}
# - ephemeris:
#     astronomical_twilight_hours: 1.1208333333333333
#     astronomical_twilight_time:
#     - ['2021-01-16T00:44:34', '2021-01-16T01:18:12']
#     - ['2021-01-16T08:27:21', '2021-01-16T09:00:58']
#     civil_twilight_hours: 0.8805555555555555
#     civil_twilight_time:
#     - ['2021-01-15T23:46:17', '2021-01-16T00:12:42']
#     - ['2021-01-16T09:32:50', '2021-01-16T09:59:15']
#     dark_hours: 6.485555555555556
#     dark_time:
#     - ['2021-01-16T01:58:13', '2021-01-16T08:27:21.000']
#     moon_illumination: 0.10426890440628889
#     nautical_twilight_hours: 1.0622222222222222
#     nautical_twilight_time:
#     - ['2021-01-16T00:12:42', '2021-01-16T00:44:34']
#     - ['2021-01-16T09:00:58', '2021-01-16T09:32:50']
#     night_hours: 7.1525
#     night_time:
#     - ['2021-01-16T01:18:12', '2021-01-16T08:27:21']
#     sun_down_hours: 10.216111111111111
#     sun_down_time:
#     - ['2021-01-15T23:46:17', '2021-01-16T09:59:15']
# - {csv_filename: ./ESO-2.2m/P106/2021-01-15/ESO-2.2m-P106-2021-01-15-log.dat}
# - {html_filename: ./ESO-2.2m/P106/2021-01-15/ESO-2.2m-P106-2021-01-15-log.shtml}
# schema: astropy-2.0
period night internal slew object target ra dec telescope instrument prog_id pi dp_cat dp_tech dp_type exposure filter_path ob_name ob_id tel_airm tel_ambi_fwhm ob_no ob_start ob_end tpl_no tpl_start tpl_end exp_no exp_start exp_end night_hours dark_hours astronomical_twilight_hours nautical_twilight_hours civil_twilight_hours sun_down_hours total_hours
106 2021-01-15 False True FLAT,SCREEN "" 328.98672805 -29.26984 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SCREEN 4.2 BB#RC/162_ESO844 DomeFlatsCalPlan 100185402 1.00 1.22 1 2021-01-15T18:53:36 2021-01-15T18:59:55 2 2021-01-15T18:57:36 2021-01-15T18:59:55 2 2021-01-15T18:58:08 2021-01-15T18:59:12 0.000 0.000 0.000 0.000 0.000 0.000 0.039
106 2021-01-15 False True FLAT,SCREEN "" 329.17072388 -29.27002 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SCREEN 4.2 BB#RC/162_ESO844 DomeFlatsCalPlan 100185402 1.00 1.22 1 2021-01-15T18:53:36 2021-01-15T18:59:55 2 2021-01-15T18:57:36 2021-01-15T18:59:55 3 2021-01-15T18:58:51 2021-01-15T18:59:55 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2021-01-15 False True FLAT,SCREEN 0.0 332.22423 -80.09848 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" ACQUISITION NONE NONE 0.0 "" DomeFlatsCalPlan 100185402 1.58 1.22 2 2021-01-15T19:07:44 2021-01-15T19:13:59 1 2021-01-15T19:07:44 2021-01-15T19:11:44 1 2021-01-15T19:07:44 2021-01-15T19:11:44 0.000 0.000 0.000 0.000 0.000 0.000 0.067
106 2021-01-15 False True FLAT,SCREEN "" 332.22423 -80.09848 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SCREEN 1.0 BB#RC/162_ESO844 DomeFlatsCalPlan 100185402 1.58 1.22 2 2021-01-15T19:07:44 2021-01-15T19:13:59 2 2021-01-15T19:11:44 2021-01-15T19:13:59 2 2021-01-15T19:12:17 2021-01-15T19:13:17 0.000 0.000 0.000 0.000 0.000 0.000 0.037
106 2021-01-15 False True FLAT,SCREEN "" 332.40987111 -80.09864 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SCREEN 1.0 BB#RC/162_ESO844 DomeFlatsCalPlan 100185402 1.58 1.22 2 2021-01-15T19:07:44 2021-01-15T19:13:59 2 2021-01-15T19:11:44 2021-01-15T19:13:59 3 2021-01-15T19:12:59 2021-01-15T19:13:59 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2021-01-15 False False "" "" 333.98750388 -29.33542 ESO-2.2m GROND 0104.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 6.5 G,R,I,Z testOB -1 1.00 1.22 4 2021-01-15T19:17:57 2021-01-15T19:19:31 1 2021-01-15T19:17:57 2021-01-15T19:19:31 1 2021-01-15T19:18:25 2021-01-15T19:19:31 0.000 0.000 0.000 0.000 0.000 0.000 0.026
106 2021-01-15 False False "" "" 334.57297 -29.33591 ESO-2.2m GROND 0104.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 6.5 G,R,I,Z testOB -1 1.00 1.22 5 2021-01-15T19:19:31 2021-01-15T19:21:31 1 2021-01-15T19:19:31 2021-01-15T19:21:31 1 2021-01-15T19:20:25 2021-01-15T19:21:31 0.000 0.000 0.000 0.000 0.000 0.000 0.033
106 2021-01-15 False False "" "" 334.51442305 -29.33587 ESO-2.2m GROND 0104.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 2.0 J,H,K testOB -1 1.00 1.22 5 2021-01-15T19:19:31 2021-01-15T19:21:31 1 2021-01-15T19:19:31 2021-01-15T19:21:31 2 2021-01-15T19:20:27 2021-01-15T19:20:39 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2021-01-15 False False "" "" 334.539515 -29.33589 ESO-2.2m GROND 0104.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 2.0 J,H,K testOB -1 1.00 1.22 5 2021-01-15T19:19:31 2021-01-15T19:21:31 1 2021-01-15T19:19:31 2021-01-15T19:21:31 3 2021-01-15T19:20:33 2021-01-15T19:20:45 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2021-01-15 False False "" "" 334.57297 -29.33591 ESO-2.2m GROND 0104.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 2.0 J,H,K testOB -1 1.00 1.22 5 2021-01-15T19:19:31 2021-01-15T19:21:31 1 2021-01-15T19:19:31 2021-01-15T19:21:31 4 2021-01-15T19:20:42 2021-01-15T19:20:54 0.000 0.000 0.000 0.000 0.000 0.000 0.000
