# %ECSV 0.9
# ---
# datatype:
# - {name: period, datatype: int32, description: ESO observing period}
# - {name: night, datatype: string, description: observing night}
# - {name: internal, datatype: bool, description: flag for internal instrument calibration}
# - {name: slew, datatype: bool, description: flag for non-tracking observations}
# - {name: object, datatype: string, description: name of the observed object}
# - {name: target, datatype: string, description: name of the astronomical target}
# - name: ra
#   unit: deg
#   datatype: float64
#   description: Right Ascension FK5 J2000
#   meta: !!omap
#   - {ucd: pos.eq.ra;meta.main}
# - name: dec
#   unit: deg
#   datatype: float64
#   description: Declination FK5 J2000
#   meta: !!omap
#   - {ucd: pos.eq.dec;meta.main}
# - {name: telescope, datatype: string, description: telescope name}
# - {name: instrument, datatype: string, description: instrument name}
# - {name: prog_id, datatype: string, description: ESO programme ID}
# - {name: pi, datatype: string, description: name of the principal investigator}
# - {name: dp_cat, datatype: string, description: purpose of observation}
# - {name: dp_tech, datatype: string, description: observing technique}
# - {name: dp_type, datatype: string, description: type of exposure}
# - {name: exposure, unit: s, datatype: float32, format: .1f, description: cumulated exposure time}
# - {name: filter_path, datatype: string, description: list of filtres in the optical path}
# - {name: ob_name, datatype: string, description: name of the observing block}
# - {name: ob_id, datatype: int32, description: observing block ID number}
# - {name: tel_airm, datatype: float32, format: .2f, description: reported airmass during the exposure}
# - {name: tel_ambi_fwhm, unit: arcsec, datatype: float32, format: .2f, description: reported DIMM seeing during the exposure}
# - {name: ob_no, datatype: int32, description: unique OB number within the night}
# - {name: ob_start, datatype: string, description: estimated start time of the execution of the OB}
# - {name: ob_end, datatype: string, description: estimated end time of the execution of the OB}
# - {name: tpl_no, datatype: int32, description: template number within OB}
# - {name: tpl_start, datatype: string, description: time at start of observing template}
# - {name: tpl_end, datatype: string, description: estimated end time of the execution of the observing template}
# - {name: exp_no, datatype: int32, description: exposure number within template}
# - {name: exp_start, datatype: string, description: time at start of exposure}
# - {name: exp_end, datatype: string, description: estimated end time of the exposure}
# - {name: night_hours, unit: h, datatype: float64, format: .3f, description: number of hours of night conditions}
# - {name: dark_hours, unit: h, datatype: float64, format: .3f, description: number of hours of dark conditions}
# - {name: astronomical_twilight_hours, unit: h, datatype: float64, format: .3f, description: number of hours of astronomicaltwilight
#     conditions}
# - {name: nautical_twilight_hours, unit: h, datatype: float64, format: .3f, description: number of hours of nauticaltwilight conditions}
# - {name: civil_twilight_hours, unit: h, datatype: float64, format: .3f, description: number of hours of civiltwilight conditions}
# - {name: sun_down_hours, unit: h, datatype: float64, format: .3f, description: number of hours of sundown conditions}
# - {name: total_hours, unit: h, datatype: float64, format: .3f, description: number of hours}
# meta: !!omap
# - {fullname: ./ESO-2.2m/taps/P104/2020-03-03/tap-ESO-2.2m-P104-2020-03-03.csv}
# - {site: La Silla Observatory}
# - {lon: -70.73000000000005}
# - {lat: -29.25666666666666}
# - {alt: 2346.999999998842}
# - {telescope: ESO-2.2m}
# - {period: 104}
# - {night: '2020-03-03'}
# - {rootdir: .}
# - ephemeris:
#     astronomical_twilight_hours: 0.9552777777777778
#     astronomical_twilight_time:
#     - ['2020-03-04T00:04:57', '2020-03-04T00:33:36']
#     - ['2020-03-04T09:15:58', '2020-03-04T09:44:38']
#     civil_twilight_hours: 0.7997222222222222
#     civil_twilight_time:
#     - ['2020-03-03T23:12:48', '2020-03-03T23:36:47']
#     - ['2020-03-04T10:12:49', '2020-03-04T10:36:49']
#     dark_hours: 4.2813888888888885
#     dark_time:
#     - ['2020-03-04T04:59:05', '2020-03-04T09:15:58']
#     moon_illumination: 0.6405901779683432
#     nautical_twilight_hours: 0.9391666666666667
#     nautical_twilight_time:
#     - ['2020-03-03T23:36:47', '2020-03-04T00:04:57']
#     - ['2020-03-04T09:44:38', '2020-03-04T10:12:49']
#     night_hours: 8.706111111111111
#     night_time:
#     - ['2020-03-04T00:33:36', '2020-03-04T09:15:58']
#     sun_down_hours: 11.400277777777777
#     sun_down_time:
#     - ['2020-03-03T23:12:48', '2020-03-04T10:36:49']
# - {roodir: .}
# - {wwwdir: /data/www/twoptwo.com}
# schema: astropy-2.0
period night internal slew object target ra dec telescope instrument prog_id pi dp_cat dp_tech dp_type exposure filter_path ob_name ob_id tel_airm tel_ambi_fwhm ob_no ob_start ob_end tpl_no tpl_start tpl_end exp_no exp_start exp_end night_hours dark_hours astronomical_twilight_hours nautical_twilight_hours civil_twilight_hours sun_down_hours total_hours
104 2020-03-03 False True OBJECT,SKY WHATEVER -596.52323555 -596.52323555 ESO-2.2m FEROS 60.A-9700(A) "OBSERVATORY, L" CALIB ECHELLE OBJECT,SKY 0.1 "" TestOB 100412975 1.00 "" 1 2020-03-03T20:59:10 2020-03-03T21:00:38 1 2020-03-03T20:59:10 2020-03-03T21:00:38 1 2020-03-03T20:59:38 2020-03-03T21:00:38 0.000 0.000 0.000 0.000 0.000 0.000 0.024
104 2020-03-03 False True OBJECT,SKY WHATEVER -596.52323555 -596.52323555 ESO-2.2m FEROS 60.A-9700(A) "OBSERVATORY, L" CALIB ECHELLE OBJECT,SKY 0.1 "" TestOB 100412975 1.00 "" 3 2020-03-03T21:23:34 2020-03-03T21:24:40 1 2020-03-03T21:23:34 2020-03-03T21:24:40 1 2020-03-03T21:23:40 2020-03-03T21:24:40 0.000 0.000 0.000 0.000 0.000 0.000 0.018
104 2020-03-03 False True FLAT,SCREEN "" 62.28753111 -80.04602 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SCREEN 7.6 BB#RC/162_ESO844 DomeFlatsP104 100185402 1.58 0.94 5 2020-03-03T22:01:37 2020-03-03T22:03:31 1 2020-03-03T22:01:37 2020-03-03T22:03:31 2 2020-03-03T22:02:24 2020-03-03T22:03:31 0.000 0.000 0.000 0.000 0.000 0.000 0.032
104 2020-03-03 False True FLAT,SCREEN "" 62.68203194 -80.04534 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SCREEN 0.9 BB#RC/162_ESO844 DomeFlatsP104 100185402 1.58 0.94 6 2020-03-03T22:03:28 2020-03-03T22:07:45 1 2020-03-03T22:03:28 2020-03-03T22:07:45 2 2020-03-03T22:03:58 2020-03-03T22:04:58 0.000 0.000 0.000 0.000 0.000 0.000 0.071
104 2020-03-03 False True FLAT,SCREEN "" 62.86668388 -80.04502 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SCREEN 0.9 BB#RC/162_ESO844 DomeFlatsP104 100185402 1.58 0.94 6 2020-03-03T22:03:28 2020-03-03T22:07:45 1 2020-03-03T22:03:28 2020-03-03T22:07:45 3 2020-03-03T22:04:40 2020-03-03T22:05:40 0.000 0.000 0.000 0.000 0.000 0.000 0.000
104 2020-03-03 False True FLAT,SCREEN "" 63.03454305 -80.04473 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SCREEN 0.9 BB#RC/162_ESO844 DomeFlatsP104 100185402 1.58 0.94 6 2020-03-03T22:03:28 2020-03-03T22:07:45 1 2020-03-03T22:03:28 2020-03-03T22:07:45 4 2020-03-03T22:05:21 2020-03-03T22:06:21 0.000 0.000 0.000 0.000 0.000 0.000 0.000
104 2020-03-03 False True FLAT,SCREEN "" 63.21079111 -80.04443 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SCREEN 0.9 BB#RC/162_ESO844 DomeFlatsP104 100185402 1.58 0.94 6 2020-03-03T22:03:28 2020-03-03T22:07:45 1 2020-03-03T22:03:28 2020-03-03T22:07:45 5 2020-03-03T22:06:03 2020-03-03T22:07:03 0.000 0.000 0.000 0.000 0.000 0.000 0.000
104 2020-03-03 False True FLAT,SCREEN "" 63.38703305 -80.04413 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SCREEN 0.9 BB#RC/162_ESO844 DomeFlatsP104 100185402 1.58 0.94 6 2020-03-03T22:03:28 2020-03-03T22:07:45 1 2020-03-03T22:03:28 2020-03-03T22:07:45 6 2020-03-03T22:06:45 2020-03-03T22:07:45 0.000 0.000 0.000 0.000 0.000 0.000 0.000
104 2020-03-03 False False FLAT,SKY "" 92.17525388 -47.99456 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SKY 1.1 BB#RC/162_ESO844 SkyFlatsEveningP104 100346479 1.06 0.94 8 2020-03-03T23:30:05 2020-03-03T23:38:17 1 2020-03-03T23:30:05 2020-03-03T23:38:17 3 2020-03-03T23:31:51 2020-03-03T23:32:52 0.000 0.000 0.000 0.025 0.112 0.137 0.137
104 2020-03-03 False False FLAT,SKY "" 92.183465 -47.989 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SKY 1.4 BB#RC/162_ESO844 SkyFlatsEveningP104 100346479 1.06 0.94 8 2020-03-03T23:30:05 2020-03-03T23:38:17 1 2020-03-03T23:30:05 2020-03-03T23:38:17 4 2020-03-03T23:32:44 2020-03-03T23:33:45 0.000 0.000 0.000 0.000 0.000 0.000 0.000
