# %ECSV 0.9
# ---
# datatype:
# - {name: period, datatype: int32, description: ESO observing period}
# - {name: night, datatype: string, description: observing night}
# - {name: internal, datatype: bool, description: flag for internal instrument calibration}
# - {name: slew, datatype: bool, description: flag for non-tracking observations}
# - {name: object, datatype: string, description: name of the observed object}
# - {name: target, datatype: string, description: name of the astronomical target}
# - name: ra
#   unit: deg
#   datatype: float64
#   description: Right Ascension FK5 J2000
#   meta: !!omap
#   - {ucd: pos.eq.ra;meta.main}
# - name: dec
#   unit: deg
#   datatype: float64
#   description: Declination FK5 J2000
#   meta: !!omap
#   - {ucd: pos.eq.dec;meta.main}
# - {name: telescope, datatype: string, description: telescope name}
# - {name: instrument, datatype: string, description: instrument name}
# - {name: prog_id, datatype: string, description: ESO programme ID}
# - {name: pi, datatype: string, description: name of the principal investigator}
# - {name: dp_cat, datatype: string, description: purpose of observation}
# - {name: dp_tech, datatype: string, description: observing technique}
# - {name: dp_type, datatype: string, description: type of exposure}
# - name: exposure
#   unit: s
#   datatype: float32
#   format: .1f
#   description: cumulated exposure time
#   meta: !!omap
#   - {ucd: time.duration;obs.exposure}
# - {name: filter_path, datatype: string, description: list of filtres in the optical path}
# - {name: ob_name, datatype: string, description: name of the observing block}
# - name: ob_id
#   datatype: int32
#   description: observing block ID number
#   meta: !!omap
#   - {ucd: meta.id;obs;meta.main}
# - {name: tel_airm, datatype: float32, format: .2f, description: reported airmass during the exposure}
# - {name: tel_ambi_fwhm, unit: arcsec, datatype: float32, format: .2f, description: reported DIMM seeing during the exposure}
# - name: ob_no
#   datatype: int32
#   description: unique OB number within the night
#   meta: !!omap
#   - {ucd: meta.id;obs;meta.number}
# - {name: ob_start, datatype: string, description: estimated start time of the execution of the OB}
# - {name: ob_end, datatype: string, description: estimated end time of the execution of the OB}
# - name: tpl_no
#   datatype: int32
#   description: template number within OB
#   meta: !!omap
#   - {ucd: meta.id;obs;meta.number}
# - {name: tpl_start, datatype: string, description: time at start of observing template}
# - {name: tpl_end, datatype: string, description: estimated end time of the execution of the observing template}
# - name: exp_no
#   datatype: int32
#   description: exposure number within template
#   meta: !!omap
#   - {ucd: meta.id;obs;meta.number}
# - {name: exp_start, datatype: string, description: time at start of exposure}
# - {name: exp_end, datatype: string, description: estimated end time of the exposure}
# - {name: night_hours, unit: h, datatype: float64, format: .3f, description: number of hours of night conditions}
# - {name: dark_hours, unit: h, datatype: float64, format: .3f, description: number of hours of dark conditions}
# - {name: astronomical_twilight_hours, unit: h, datatype: float64, format: .3f, description: number of hours of astronomicaltwilight
#     conditions}
# - {name: nautical_twilight_hours, unit: h, datatype: float64, format: .3f, description: number of hours of nauticaltwilight conditions}
# - {name: civil_twilight_hours, unit: h, datatype: float64, format: .3f, description: number of hours of civiltwilight conditions}
# - {name: sun_down_hours, unit: h, datatype: float64, format: .3f, description: number of hours of sundown conditions}
# - {name: total_hours, unit: h, datatype: float64, format: .3f, description: number of hours}
# meta: !!omap
# - {site: La Silla Observatory}
# - {lon: -70.73000000000005}
# - {lat: -29.25666666666666}
# - {alt: 2346.999999998842}
# - {telescope: ESO-2.2m}
# - {period: 106}
# - {night: '2020-11-29'}
# - {rootdir: .}
# - ephemeris:
#     astronomical_twilight_hours: 1.136111111111111
#     astronomical_twilight_time:
#     - ['2020-11-30T00:26:05', '2020-11-30T01:00:10']
#     - ['2020-11-30T08:02:53', '2020-11-30T08:36:58']
#     civil_twilight_hours: 0.8888888888888888
#     civil_twilight_time:
#     - ['2020-11-29T23:27:13', '2020-11-29T23:53:53']
#     - ['2020-11-30T09:09:10', '2020-11-30T09:35:50']
#     dark_hours: 0.0
#     dark_time: []
#     moon_illumination: 0.9994839043178044
#     nautical_twilight_hours: 1.0733333333333333
#     nautical_twilight_time:
#     - ['2020-11-29T23:53:53', '2020-11-30T00:26:05']
#     - ['2020-11-30T08:36:58', '2020-11-30T09:09:10']
#     night_hours: 7.045277777777778
#     night_time:
#     - ['2020-11-30T01:00:10', '2020-11-30T08:02:53']
#     sun_down_hours: 10.143611111111111
#     sun_down_time:
#     - ['2020-11-29T23:27:13', '2020-11-30T09:35:50']
# - {roodir: .}
# - {wwwdir: /data/www/twoptwo.com}
# schema: astropy-2.0
period night internal slew object target ra dec telescope instrument prog_id pi dp_cat dp_tech dp_type exposure filter_path ob_name ob_id tel_airm tel_ambi_fwhm ob_no ob_start ob_end tpl_no tpl_start tpl_end exp_no exp_start exp_end night_hours dark_hours astronomical_twilight_hours nautical_twilight_hours civil_twilight_hours sun_down_hours total_hours
106 2020-11-29 False True OBJECT,SKY WHATEVER 346.57868111 -29.34145 ESO-2.2m FEROS 60.A-9700(A) "OBSERVATORY, L" CALIB ECHELLE OBJECT,SKY 0.1 "" TestOB 100412975 1.00 0.75 1 2020-11-29T23:12:47 2020-11-29T23:14:17 1 2020-11-29T23:12:47 2020-11-29T23:14:17 1 2020-11-29T23:13:17 2020-11-29T23:14:17 0.000 0.000 0.000 0.000 0.000 0.000 0.025
106 2020-11-29 False False FLAT,SKY "" 2.50539111 -20.50515 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" ACQUISITION NONE NONE 0.0 "" SkyFlatsEveningCalPlan 100346479 1.02 0.75 3 2020-11-29T23:48:32 2020-11-29T23:52:39 1 2020-11-29T23:48:32 2020-11-29T23:48:32 1 2020-11-29T23:48:32 2020-11-29T23:48:32 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2020-11-29 False False FLAT,SKY "" 2.50539111 -20.50515 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SKY 2.2 BB#RC/162_ESO844 SkyFlatsEveningCalPlan 100346479 1.02 0.75 3 2020-11-29T23:48:32 2020-11-29T23:52:39 5 2020-11-29T23:48:32 2020-11-29T23:52:39 2 2020-11-29T23:49:52 2020-11-29T23:50:54 0.000 0.000 0.000 0.000 0.069 0.069 0.069
106 2020-11-29 False False FLAT,SKY "" 2.511375 -20.4996 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SKY 2.7 BB#RC/162_ESO844 SkyFlatsEveningCalPlan 100346479 1.02 0.75 3 2020-11-29T23:48:32 2020-11-29T23:52:39 5 2020-11-29T23:48:32 2020-11-29T23:52:39 3 2020-11-29T23:50:43 2020-11-29T23:51:45 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2020-11-29 False False FLAT,SKY "" 2.51731305 -20.49405 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SKY 3.3 BB#RC/162_ESO844 SkyFlatsEveningCalPlan 100346479 1.02 0.75 3 2020-11-29T23:48:32 2020-11-29T23:52:39 5 2020-11-29T23:48:32 2020-11-29T23:52:39 4 2020-11-29T23:51:36 2020-11-29T23:52:39 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2020-11-29 False False FLAT,SKY "" 2.52913 -20.48293 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" ACQUISITION NONE NONE 0.0 "" SkyFlatsEveningCalPlan 100346479 1.02 0.75 4 2020-11-29T23:52:39 2020-11-29T23:58:39 1 2020-11-29T23:52:39 2020-11-29T23:53:54 1 2020-11-29T23:52:39 2020-11-29T23:53:54 0.000 0.000 0.000 0.000 0.021 0.021 0.021
106 2020-11-29 False False FLAT,SKY "" 2.52913 -20.48293 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SKY 15.4 BB#RC/162_ESO844 SkyFlatsEveningCalPlan 100346479 1.02 0.75 4 2020-11-29T23:52:39 2020-11-29T23:58:39 5 2020-11-29T23:53:54 2020-11-29T23:58:39 2 2020-11-29T23:54:59 2020-11-29T23:56:14 0.000 0.000 0.000 0.079 0.000 0.079 0.079
106 2020-11-29 False False FLAT,SKY "" 2.53497305 -20.47737 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SKY 20.1 BB#RC/162_ESO844 SkyFlatsEveningCalPlan 100346479 1.01 0.75 4 2020-11-29T23:52:39 2020-11-29T23:58:39 5 2020-11-29T23:53:54 2020-11-29T23:58:39 3 2020-11-29T23:56:04 2020-11-29T23:57:24 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2020-11-29 False False FLAT,SKY "" 2.54090111 -20.47181 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SKY 26.9 BB#RC/162_ESO844 SkyFlatsEveningCalPlan 100346479 1.01 0.75 4 2020-11-29T23:52:39 2020-11-29T23:58:39 5 2020-11-29T23:53:54 2020-11-29T23:58:39 4 2020-11-29T23:57:13 2020-11-29T23:58:39 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2020-11-29 False True "" "" 0.0 0.0 ESO-2.2m "" IDLE/TWILIGHT "twilight downtime" "" "" "" 0.0 "" Telescope_Idle 0 0.00 0.00 31 2020-11-30T00:26:05 2020-11-30T01:00:10 0 2020-11-30T00:26:05 2020-11-30T01:00:10 0 2020-11-30T00:26:05 2020-11-30T01:00:10 0.000 0.000 0.568 0.000 0.000 0.568 0.568
