# %ECSV 0.9
# ---
# datatype:
# - {name: period, datatype: int32, description: ESO observing period}
# - {name: night, datatype: string, description: observing night}
# - {name: internal, datatype: bool, description: flag for internal instrument calibration}
# - {name: slew, datatype: bool, description: flag for non-tracking observations}
# - {name: object, datatype: string, description: name of the observed object}
# - {name: target, datatype: string, description: name of the astronomical target}
# - name: ra
#   unit: deg
#   datatype: float64
#   description: Right Ascension FK5 J2000
#   meta: !!omap
#   - {ucd: pos.eq.ra;meta.main}
# - name: dec
#   unit: deg
#   datatype: float64
#   description: Declination FK5 J2000
#   meta: !!omap
#   - {ucd: pos.eq.dec;meta.main}
# - {name: telescope, datatype: string, description: telescope name}
# - {name: instrument, datatype: string, description: instrument name}
# - {name: prog_id, datatype: string, description: ESO programme ID}
# - {name: pi, datatype: string, description: name of the principal investigator}
# - {name: dp_cat, datatype: string, description: purpose of observation}
# - {name: dp_tech, datatype: string, description: observing technique}
# - {name: dp_type, datatype: string, description: type of exposure}
# - name: exposure
#   unit: s
#   datatype: float32
#   format: .1f
#   description: cumulated exposure time
#   meta: !!omap
#   - {ucd: time.duration;obs.exposure}
# - {name: filter_path, datatype: string, description: list of filtres in the optical path}
# - {name: ob_name, datatype: string, description: name of the observing block}
# - name: ob_id
#   datatype: int32
#   description: observing block ID number
#   meta: !!omap
#   - {ucd: meta.id;obs;meta.main}
# - {name: tel_airm, datatype: float32, format: .2f, description: reported airmass during the exposure}
# - {name: tel_ambi_fwhm, unit: arcsec, datatype: float32, format: .2f, description: reported DIMM seeing during the exposure}
# - name: ob_no
#   datatype: int32
#   description: unique OB number within the night
#   meta: !!omap
#   - {ucd: meta.id;obs;meta.number}
# - {name: ob_start, datatype: string, description: estimated start time of the execution of the OB}
# - {name: ob_end, datatype: string, description: estimated end time of the execution of the OB}
# - name: tpl_no
#   datatype: int32
#   description: template number within OB
#   meta: !!omap
#   - {ucd: meta.id;obs;meta.number}
# - {name: tpl_start, datatype: string, description: time at start of observing template}
# - {name: tpl_end, datatype: string, description: estimated end time of the execution of the observing template}
# - name: exp_no
#   datatype: int32
#   description: exposure number within template
#   meta: !!omap
#   - {ucd: meta.id;obs;meta.number}
# - {name: exp_start, datatype: string, description: time at start of exposure}
# - {name: exp_end, datatype: string, description: estimated end time of the exposure}
# - {name: night_hours, unit: h, datatype: float64, format: .3f, description: number of hours of night conditions}
# - {name: dark_hours, unit: h, datatype: float64, format: .3f, description: number of hours of dark conditions}
# - {name: astronomical_twilight_hours, unit: h, datatype: float64, format: .3f, description: number of hours of astronomicaltwilight
#     conditions}
# - {name: nautical_twilight_hours, unit: h, datatype: float64, format: .3f, description: number of hours of nauticaltwilight conditions}
# - {name: civil_twilight_hours, unit: h, datatype: float64, format: .3f, description: number of hours of civiltwilight conditions}
# - {name: sun_down_hours, unit: h, datatype: float64, format: .3f, description: number of hours of sundown conditions}
# - {name: total_hours, unit: h, datatype: float64, format: .3f, description: number of hours}
# meta: !!omap
# - {site: La Silla Observatory}
# - {lon: -70.73000000000005}
# - {lat: -29.25666666666666}
# - {alt: 2346.999999998842}
# - {telescope: ESO-2.2m}
# - {period: 106}
# - {night: '2021-01-22'}
# - {rootdir: .}
# - ephemeris:
#     astronomical_twilight_hours: 1.0944444444444446
#     astronomical_twilight_time:
#     - ['2021-01-23T00:41:46', '2021-01-23T01:14:36']
#     - ['2021-01-23T08:35:10', '2021-01-23T09:08:00']
#     civil_twilight_hours: 0.8686111111111111
#     civil_twilight_time:
#     - ['2021-01-22T23:44:27', '2021-01-23T00:10:30']
#     - ['2021-01-23T09:39:15', '2021-01-23T10:05:19']
#     dark_hours: 2.9588888888888887
#     dark_time:
#     - !!python/tuple ['2021-01-23T05:37:38', '2021-01-23T08:35:10']
#     moon_illumination: 0.7139412634715626
#     nautical_twilight_hours: 1.0419444444444443
#     nautical_twilight_time:
#     - ['2021-01-23T00:10:30', '2021-01-23T00:41:46']
#     - ['2021-01-23T09:08:00', '2021-01-23T09:39:15']
#     night_hours: 7.342777777777778
#     night_time:
#     - ['2021-01-23T01:14:36', '2021-01-23T08:35:10']
#     sun_down_hours: 10.347777777777777
#     sun_down_time:
#     - ['2021-01-22T23:44:27', '2021-01-23T10:05:19']
# - {roodir: .}
# - {wwwdir: /data/www/twoptwo.com}
# schema: astropy-2.0
period night internal slew object target ra dec telescope instrument prog_id pi dp_cat dp_tech dp_type exposure filter_path ob_name ob_id tel_airm tel_ambi_fwhm ob_no ob_start ob_end tpl_no tpl_start tpl_end exp_no exp_start exp_end night_hours dark_hours astronomical_twilight_hours nautical_twilight_hours civil_twilight_hours sun_down_hours total_hours
106 2021-01-22 False True FLAT,SCREEN "" 349.23775388 -80.10903 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SCREEN 0.8 BB#RC/162_ESO844 DomeFlatsP106 100185402 1.58 1.15 1 2021-01-22T19:51:23 2021-01-22T19:55:42 1 2021-01-22T19:51:23 2021-01-22T19:55:42 2 2021-01-22T19:51:55 2021-01-22T19:52:55 0.000 0.000 0.000 0.000 0.000 0.000 0.072
106 2021-01-22 False True FLAT,SCREEN "" 349.415145 -80.10909 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SCREEN 0.8 BB#RC/162_ESO844 DomeFlatsP106 100185402 1.58 1.15 1 2021-01-22T19:51:23 2021-01-22T19:55:42 1 2021-01-22T19:51:23 2021-01-22T19:55:42 3 2021-01-22T19:52:36 2021-01-22T19:53:36 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2021-01-22 False True FLAT,SCREEN "" 349.59253694 -80.10914 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SCREEN 0.8 BB#RC/162_ESO844 DomeFlatsP106 100185402 1.58 1.15 1 2021-01-22T19:51:23 2021-01-22T19:55:42 1 2021-01-22T19:51:23 2021-01-22T19:55:42 4 2021-01-22T19:53:18 2021-01-22T19:54:18 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2021-01-22 False True FLAT,SCREEN "" 349.76993 -80.10919 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SCREEN 0.8 BB#RC/162_ESO844 DomeFlatsP106 100185402 1.58 1.15 1 2021-01-22T19:51:23 2021-01-22T19:55:42 1 2021-01-22T19:51:23 2021-01-22T19:55:42 5 2021-01-22T19:54:00 2021-01-22T19:55:00 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2021-01-22 False True FLAT,SCREEN "" 349.94732388 -80.10925 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SCREEN 0.8 BB#RC/162_ESO844 DomeFlatsP106 100185402 1.58 1.15 1 2021-01-22T19:51:23 2021-01-22T19:55:42 1 2021-01-22T19:51:23 2021-01-22T19:55:42 6 2021-01-22T19:54:42 2021-01-22T19:55:42 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2021-01-22 False False "" "" 351.62629888 -29.34543 ESO-2.2m GROND 0106.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 6.5 G,R,I,Z testOB -1 1.00 1.15 3 2021-01-22T20:00:44 2021-01-22T20:02:17 1 2021-01-22T20:00:44 2021-01-22T20:02:17 1 2021-01-22T20:01:11 2021-01-22T20:02:17 0.000 0.000 0.000 0.000 0.000 0.000 0.026
106 2021-01-22 False False "" "" 352.16999388 -29.34557 ESO-2.2m GROND 0106.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 6.5 G,R,I,Z testOB -1 1.00 1.15 4 2021-01-22T20:02:17 2021-01-22T20:04:03 1 2021-01-22T20:02:17 2021-01-22T20:04:03 1 2021-01-22T20:02:57 2021-01-22T20:04:03 0.000 0.000 0.000 0.000 0.000 0.000 0.029
106 2021-01-22 False False "" "" 352.08634888 -29.34555 ESO-2.2m GROND 0106.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 2.0 J,H,K testOB -1 1.00 1.15 4 2021-01-22T20:02:17 2021-01-22T20:04:03 1 2021-01-22T20:02:17 2021-01-22T20:04:03 2 2021-01-22T20:02:59 2021-01-22T20:03:11 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2021-01-22 False False "" "" 352.11980694 -29.34556 ESO-2.2m GROND 0106.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 2.0 J,H,K testOB -1 1.00 1.15 4 2021-01-22T20:02:17 2021-01-22T20:04:03 1 2021-01-22T20:02:17 2021-01-22T20:04:03 3 2021-01-22T20:03:06 2021-01-22T20:03:18 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2021-01-22 False False "" "" 352.14490111 -29.34557 ESO-2.2m GROND 0106.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 2.0 J,H,K testOB -1 1.00 1.15 4 2021-01-22T20:02:17 2021-01-22T20:04:03 1 2021-01-22T20:02:17 2021-01-22T20:04:03 4 2021-01-22T20:03:12 2021-01-22T20:03:24 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2021-01-22 False False "" "" 352.16999388 -29.34557 ESO-2.2m GROND 0106.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 2.0 J,H,K testOB -1 1.00 1.15 4 2021-01-22T20:02:17 2021-01-22T20:04:03 1 2021-01-22T20:02:17 2021-01-22T20:04:03 5 2021-01-22T20:03:18 2021-01-22T20:03:30 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2021-01-22 False False "" "" 352.19508805 -29.34558 ESO-2.2m GROND 0106.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 2.0 J,H,K testOB -1 1.00 1.15 4 2021-01-22T20:02:17 2021-01-22T20:04:03 1 2021-01-22T20:02:17 2021-01-22T20:04:03 6 2021-01-22T20:03:24 2021-01-22T20:03:36 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2021-01-22 False False "" "" 352.22854611 -29.34559 ESO-2.2m GROND 0106.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 2.0 J,H,K testOB -1 1.00 1.15 4 2021-01-22T20:02:17 2021-01-22T20:04:03 1 2021-01-22T20:02:17 2021-01-22T20:04:03 7 2021-01-22T20:03:31 2021-01-22T20:03:43 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2021-01-22 False True "" "" 0.0 0.0 ESO-2.2m "" IDLE/TWILIGHT "twilight downtime" "" "" "" 0.0 "" Telescope_Idle 0 0.00 0.00 62 2021-01-23T00:41:46 2021-01-23T01:14:36 0 2021-01-23T00:41:46 2021-01-23T01:14:36 0 2021-01-23T00:41:46 2021-01-23T01:14:36 0.000 0.000 0.547 0.000 0.000 0.547 0.547
106 2021-01-22 False True "" "" 0.0 0.0 ESO-2.2m "" IDLE/NIGHT "night downtime" "" "" "" 0.0 "" Telescope_Idle 0 0.00 0.00 61 2021-01-23T01:14:36 2021-01-23T02:11:53 0 2021-01-23T01:14:36 2021-01-23T02:11:53 0 2021-01-23T01:14:36 2021-01-23T02:11:53 0.955 0.000 0.000 0.000 0.000 0.955 0.955
106 2021-01-22 False False SKY HR2180 92.24066888 -22.42722 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" ACQUISITION IMAGE SKY 1.0 BB#RC/162_ESO844 Pointing-0609-2225 100185387 1.01 1.15 5 2021-01-23T02:11:53 2021-01-23T02:13:36 1 2021-01-23T02:11:53 2021-01-23T02:13:36 1 2021-01-23T02:12:36 2021-01-23T02:13:36 0.029 0.000 0.000 0.000 0.000 0.029 0.029
106 2021-01-22 False False EM01_054150_020_ML00395_002_C946 EM01_054150_020_ML00395_002_C946 55.030385 -59.60199 ESO-2.2m GROND 0106.A-9099(A) "RAU, A" ACQUISITION NONE NONE 0.0 "" em01_054150_020_ML00395_002_c946_2021-01-22 -1 1.26 1.15 6 2021-01-23T02:13:36 2021-01-23T03:00:48 1 2021-01-23T02:13:36 2021-01-23T02:20:04 1 2021-01-23T02:13:36 2021-01-23T02:20:04 0.108 0.000 0.000 0.000 0.000 0.108 0.108
106 2021-01-22 False False EM01_054150_020_ML00395_002_C946 EM01_054150_020_ML00395_002_C946 55.030385 -59.60199 ESO-2.2m GROND 0106.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 329.9 G,R,I,Z em01_054150_020_ML00395_002_c946_2021-01-22 -1 1.26 1.15 6 2021-01-23T02:13:36 2021-01-23T03:00:48 2 2021-01-23T02:20:04 2021-01-23T03:00:48 1 2021-01-23T02:20:21 2021-01-23T02:26:50 0.679 0.000 0.000 0.000 0.000 0.679 0.679
106 2021-01-22 False False EM01_054150_020_ML00395_002_C946 EM01_054150_020_ML00395_002_C946 55.03035611 -59.60179 ESO-2.2m GROND 0106.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 10.0 J,H,K em01_054150_020_ML00395_002_c946_2021-01-22 -1 1.26 1.15 6 2021-01-23T02:13:36 2021-01-23T03:00:48 2 2021-01-23T02:20:04 2021-01-23T03:00:48 2 2021-01-23T02:20:24 2021-01-23T02:20:44 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2021-01-22 False False EM01_054150_020_ML00395_002_C946 EM01_054150_020_ML00395_002_C946 55.03070388 -59.60164 ESO-2.2m GROND 0106.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 10.0 J,H,K em01_054150_020_ML00395_002_c946_2021-01-22 -1 1.26 1.15 6 2021-01-23T02:13:36 2021-01-23T03:00:48 2 2021-01-23T02:20:04 2021-01-23T03:00:48 3 2021-01-23T02:21:27 2021-01-23T02:21:47 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2021-01-22 False False EM01_054150_020_ML00395_002_C946 EM01_054150_020_ML00395_002_C946 55.030675 -59.60171 ESO-2.2m GROND 0106.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 10.0 J,H,K em01_054150_020_ML00395_002_c946_2021-01-22 -1 1.26 1.15 6 2021-01-23T02:13:36 2021-01-23T03:00:48 2 2021-01-23T02:20:04 2021-01-23T03:00:48 4 2021-01-23T02:22:30 2021-01-23T02:22:50 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2021-01-22 False False EM01_054150_020_ML00395_002_C946 EM01_054150_020_ML00395_002_C946 55.03026388 -59.60184 ESO-2.2m GROND 0106.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 10.0 J,H,K em01_054150_020_ML00395_002_c946_2021-01-22 -1 1.26 1.15 6 2021-01-23T02:13:36 2021-01-23T03:00:48 2 2021-01-23T02:20:04 2021-01-23T03:00:48 5 2021-01-23T02:23:33 2021-01-23T02:23:53 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2021-01-22 False False EM01_054150_020_ML00395_002_C946 EM01_054150_020_ML00395_002_C946 55.03019611 -59.60192 ESO-2.2m GROND 0106.A-9099(A) "RAU, A" SCIENCE IMAGE OBJECT 10.0 J,H,K em01_054150_020_ML00395_002_c946_2021-01-22 -1 1.26 1.15 6 2021-01-23T02:13:36 2021-01-23T03:00:48 2 2021-01-23T02:20:04 2021-01-23T03:00:48 6 2021-01-23T02:24:35 2021-01-23T02:24:55 0.000 0.000 0.000 0.000 0.000 0.000 0.000
