# %ECSV 0.9
# ---
# datatype:
# - {name: period, datatype: int32, description: ESO observing period}
# - {name: night, datatype: string, description: observing night}
# - {name: internal, datatype: bool, description: flag for internal instrument calibration}
# - {name: slew, datatype: bool, description: flag for non-tracking observations}
# - {name: object, datatype: string, description: name of the observed object}
# - {name: target, datatype: string, description: name of the astronomical target}
# - name: ra
#   unit: deg
#   datatype: float64
#   description: Right Ascension FK5 J2000
#   meta: !!omap
#   - {ucd: pos.eq.ra;meta.main}
# - name: dec
#   unit: deg
#   datatype: float64
#   description: Declination FK5 J2000
#   meta: !!omap
#   - {ucd: pos.eq.dec;meta.main}
# - {name: telescope, datatype: string, description: telescope name}
# - {name: instrument, datatype: string, description: instrument name}
# - {name: prog_id, datatype: string, description: ESO programme ID}
# - {name: pi, datatype: string, description: name of the principal investigator}
# - {name: dp_cat, datatype: string, description: purpose of observation}
# - {name: dp_tech, datatype: string, description: observing technique}
# - {name: dp_type, datatype: string, description: type of exposure}
# - name: exposure
#   unit: s
#   datatype: float32
#   format: .1f
#   description: cumulated exposure time
#   meta: !!omap
#   - {ucd: time.duration;obs.exposure}
# - {name: filter_path, datatype: string, description: list of filtres in the optical path}
# - {name: ob_name, datatype: string, description: name of the observing block}
# - name: ob_id
#   datatype: int32
#   description: observing block ID number
#   meta: !!omap
#   - {ucd: meta.id;obs;meta.main}
# - {name: tel_airm, datatype: float32, format: .2f, description: reported airmass during the exposure}
# - {name: tel_ambi_fwhm, unit: arcsec, datatype: float32, format: .2f, description: reported DIMM seeing during the exposure}
# - name: ob_no
#   datatype: int32
#   description: unique OB number within the night
#   meta: !!omap
#   - {ucd: meta.id;obs;meta.number}
# - {name: ob_start, datatype: string, description: estimated start time of the execution of the OB}
# - {name: ob_end, datatype: string, description: estimated end time of the execution of the OB}
# - name: tpl_no
#   datatype: int32
#   description: template number within OB
#   meta: !!omap
#   - {ucd: meta.id;obs;meta.number}
# - {name: tpl_start, datatype: string, description: time at start of observing template}
# - {name: tpl_end, datatype: string, description: estimated end time of the execution of the observing template}
# - name: exp_no
#   datatype: int32
#   description: exposure number within template
#   meta: !!omap
#   - {ucd: meta.id;obs;meta.number}
# - {name: exp_start, datatype: string, description: time at start of exposure}
# - {name: exp_end, datatype: string, description: estimated end time of the exposure}
# - {name: night_hours, unit: h, datatype: float64, format: .3f, description: number of hours of night conditions}
# - {name: dark_hours, unit: h, datatype: float64, format: .3f, description: number of hours of dark conditions}
# - {name: astronomical_twilight_hours, unit: h, datatype: float64, format: .3f, description: number of hours of astronomicaltwilight
#     conditions}
# - {name: nautical_twilight_hours, unit: h, datatype: float64, format: .3f, description: number of hours of nauticaltwilight conditions}
# - {name: civil_twilight_hours, unit: h, datatype: float64, format: .3f, description: number of hours of civiltwilight conditions}
# - {name: sun_down_hours, unit: h, datatype: float64, format: .3f, description: number of hours of sundown conditions}
# - {name: total_hours, unit: h, datatype: float64, format: .3f, description: number of hours}
# meta: !!omap
# - {site: La Silla Observatory}
# - {lon: -70.73000000000005}
# - {lat: -29.25666666666666}
# - {alt: 2346.999999998842}
# - {telescope: ESO-2.2m}
# - {period: 106}
# - {night: '2021-02-10'}
# - {rootdir: .}
# - ephemeris:
#     astronomical_twilight_hours: 1.02
#     astronomical_twilight_time:
#     - ['2021-02-11T00:27:48', '2021-02-11T00:58:24']
#     - ['2021-02-11T08:56:12', '2021-02-11T09:26:48']
#     civil_twilight_hours: 0.8305555555555556
#     civil_twilight_time:
#     - ['2021-02-10T23:33:17', '2021-02-10T23:58:12']
#     - ['2021-02-11T09:56:25', '2021-02-11T10:21:20']
#     dark_hours: 7.963333333333333
#     dark_time:
#     - !!python/tuple ['2021-02-11T00:58:24', '2021-02-11T08:56:12']
#     moon_illumination: 0.00535947404360454
#     nautical_twilight_hours: 0.9869444444444444
#     nautical_twilight_time:
#     - ['2021-02-10T23:58:12', '2021-02-11T00:27:48']
#     - ['2021-02-11T09:26:48', '2021-02-11T09:56:25']
#     night_hours: 7.963333333333333
#     night_time:
#     - ['2021-02-11T00:58:24', '2021-02-11T08:56:12']
#     sun_down_hours: 10.800833333333333
#     sun_down_time:
#     - ['2021-02-10T23:33:17', '2021-02-11T10:21:20']
# - {roodir: .}
# - {wwwdir: /data/www/twoptwo.com}
# schema: astropy-2.0
period night internal slew object target ra dec telescope instrument prog_id pi dp_cat dp_tech dp_type exposure filter_path ob_name ob_id tel_airm tel_ambi_fwhm ob_no ob_start ob_end tpl_no tpl_start tpl_end exp_no exp_start exp_end night_hours dark_hours astronomical_twilight_hours nautical_twilight_hours civil_twilight_hours sun_down_hours total_hours
106 2021-02-10 False True FLAT,SCREEN "" 358.74282805 -80.11207 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SCREEN 1.7 BB#RC/162_ESO844 DomeFlatsP106 100185402 1.58 0.98 2 2021-02-10T19:13:26 2021-02-10T19:18:38 1 2021-02-10T19:13:26 2021-02-10T19:18:38 4 2021-02-10T19:14:43 2021-02-10T19:15:44 0.000 0.000 0.000 0.000 0.000 0.000 0.087
106 2021-02-10 False True FLAT,SCREEN "" 358.92872388 -80.11206 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SCREEN 1.7 BB#RC/162_ESO844 DomeFlatsP106 100185402 1.58 0.98 2 2021-02-10T19:13:26 2021-02-10T19:18:38 1 2021-02-10T19:13:26 2021-02-10T19:18:38 5 2021-02-10T19:15:26 2021-02-10T19:16:27 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2021-02-10 False True FLAT,SCREEN "" 359.11462111 -80.11206 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SCREEN 1.7 BB#RC/162_ESO844 DomeFlatsP106 100185402 1.58 0.98 2 2021-02-10T19:13:26 2021-02-10T19:18:38 1 2021-02-10T19:13:26 2021-02-10T19:18:38 6 2021-02-10T19:16:09 2021-02-10T19:17:10 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2021-02-10 False True FLAT,SCREEN "" 359.30051694 -80.11205 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SCREEN 1.7 BB#RC/162_ESO844 DomeFlatsP106 100185402 1.58 0.98 2 2021-02-10T19:13:26 2021-02-10T19:18:38 1 2021-02-10T19:13:26 2021-02-10T19:18:38 7 2021-02-10T19:16:53 2021-02-10T19:17:54 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2021-02-10 False True FLAT,SCREEN "" 359.48359694 -80.11204 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SCREEN 1.7 BB#RC/162_ESO844 DomeFlatsP106 100185402 1.58 0.98 2 2021-02-10T19:13:26 2021-02-10T19:18:38 1 2021-02-10T19:13:26 2021-02-10T19:18:38 8 2021-02-10T19:17:37 2021-02-10T19:18:38 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2021-02-10 False False TAUCET TAUCET 26.01409694 -15.91743 ESO-2.2m FEROS 60.A-9700(A) "OBSERVATORY, L" ACQUISITION NONE NONE 0.0 "" 0144-1556_tauCeti 199353231 1.44 0.98 3 2021-02-11T00:09:46 2021-02-11T00:16:09 1 2021-02-11T00:09:46 2021-02-11T00:13:46 1 2021-02-11T00:09:46 2021-02-11T00:13:46 0.000 0.000 0.000 0.067 0.000 0.067 0.067
106 2021-02-10 False False TAUCET TAUCET 26.01409694 -15.91743 ESO-2.2m FEROS 60.A-9700(A) "OBSERVATORY, L" SCIENCE ECHELLE OBJECT,WAVE 60.0 "" 0144-1556_tauCeti 199353231 1.44 0.98 3 2021-02-11T00:09:46 2021-02-11T00:16:09 2 2021-02-11T00:13:46 2021-02-11T00:16:09 1 2021-02-11T00:14:09 2021-02-11T00:16:09 0.000 0.000 0.000 0.040 0.000 0.040 0.040
106 2021-02-10 False False HD32147 HD32147 75.21894805 -5.74595 ESO-2.2m FEROS 60.A-9700(A) "OBSERVATORY, L" ACQUISITION NONE NONE 0.0 "" new_RVStandard_0500-0545_HD32147 199353231 1.09 0.98 4 2021-02-11T00:16:09 2021-02-11T00:22:58 1 2021-02-11T00:16:09 2021-02-11T00:18:37 1 2021-02-11T00:16:09 2021-02-11T00:18:37 0.000 0.000 0.000 0.041 0.000 0.041 0.041
106 2021-02-10 False False HD32147 HD32147 75.21894805 -5.74595 ESO-2.2m FEROS 60.A-9700(A) "OBSERVATORY, L" SCIENCE ECHELLE OBJECT,WAVE 180.0 "" new_RVStandard_0500-0545_HD32147 199353231 1.09 0.98 4 2021-02-11T00:16:09 2021-02-11T00:22:58 2 2021-02-11T00:18:37 2021-02-11T00:22:58 1 2021-02-11T00:18:58 2021-02-11T00:22:58 0.000 0.000 0.000 0.072 0.000 0.072 0.072
106 2021-02-10 False False HD72673 HD72673 128.21527611 -31.48325 ESO-2.2m FEROS 60.A-9700(A) "OBSERVATORY, L" ACQUISITION NONE NONE 0.0 "" RVStandard_0833-3131_HD72673 199353231 1.38 0.98 5 2021-02-11T00:22:58 2021-02-11T00:30:58 1 2021-02-11T00:22:58 2021-02-11T00:26:38 1 2021-02-11T00:22:58 2021-02-11T00:26:38 0.000 0.000 0.000 0.061 0.000 0.061 0.061
106 2021-02-10 False False HD72673 HD72673 128.21527611 -31.48325 ESO-2.2m FEROS 60.A-9700(A) "OBSERVATORY, L" SCIENCE ECHELLE OBJECT,WAVE 180.0 "" RVStandard_0833-3131_HD72673 199353231 1.38 0.98 5 2021-02-11T00:22:58 2021-02-11T00:30:58 2 2021-02-11T00:26:38 2021-02-11T00:30:58 1 2021-02-11T00:26:58 2021-02-11T00:30:58 0.000 0.000 0.053 0.019 0.000 0.072 0.072
106 2021-02-10 False False HD42807 HD42807 93.31363888 10.63768 ESO-2.2m FEROS 60.A-9700(A) "OBSERVATORY, L" ACQUISITION NONE NONE 0.0 "" RVStandard_IAU_0613+1038 199353231 1.34 0.98 6 2021-02-11T00:30:58 2021-02-11T00:43:38 1 2021-02-11T00:30:58 2021-02-11T00:34:47 1 2021-02-11T00:30:58 2021-02-11T00:34:47 0.000 0.000 0.064 0.000 0.000 0.064 0.064
106 2021-02-10 False False HD42807 HD42807 93.31363888 10.63768 ESO-2.2m FEROS 60.A-9700(A) "OBSERVATORY, L" SCIENCE ECHELLE OBJECT,WAVE 450.0 "" RVStandard_IAU_0613+1038 199353231 1.34 0.98 6 2021-02-11T00:30:58 2021-02-11T00:43:38 2 2021-02-11T00:34:47 2021-02-11T00:43:38 1 2021-02-11T00:35:08 2021-02-11T00:43:38 0.000 0.000 0.147 0.000 0.000 0.147 0.147
106 2021-02-10 False True "" "" 0.0 0.0 ESO-2.2m "" IDLE/TWILIGHT "twilight downtime" "" "" "" 0.0 "" Telescope_Idle 0 0.00 0.00 9 2021-02-11T00:43:38 2021-02-11T00:58:24 0 2021-02-11T00:43:38 2021-02-11T00:58:24 0 2021-02-11T00:43:38 2021-02-11T00:58:24 0.000 0.000 0.246 0.000 0.000 0.246 0.246
106 2021-02-10 False True "" "" 0.0 0.0 ESO-2.2m "" IDLE/NIGHT "night downtime" "" "" "" 0.0 "" Telescope_Idle 0 0.00 0.00 8 2021-02-11T00:58:24 2021-02-11T08:56:12 0 2021-02-11T00:58:24 2021-02-11T08:56:12 0 2021-02-11T00:58:24 2021-02-11T08:56:12 7.963 7.963 0.000 0.000 0.000 7.963 7.963
106 2021-02-10 False True "" "" 0.0 0.0 ESO-2.2m "" IDLE/TWILIGHT "twilight downtime" "" "" "" 0.0 "" Telescope_Idle 0 0.00 0.00 11 2021-02-11T08:56:12 2021-02-11T09:26:48 0 2021-02-11T08:56:12 2021-02-11T09:26:48 0 2021-02-11T08:56:12 2021-02-11T09:26:48 0.000 0.000 0.510 0.000 0.000 0.510 0.510
106 2021-02-10 True True BIAS "" -596.52323555 -596.52323555 ESO-2.2m FEROS 60.A-9700(A) "OBSERVATORY, L" CALIB ECHELLE BIAS 0.0 "" 910-StanCal-norm 100319512 1.00 "" 1 2021-02-10T18:27:55 2021-02-10T20:02:43 1 2021-02-10T18:27:55 2021-02-10T18:31:56 1 2021-02-10T18:28:00 2021-02-10T18:29:00 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2021-02-10 True True BIAS "" -596.52323555 -596.52323555 ESO-2.2m FEROS 60.A-9700(A) "OBSERVATORY, L" CALIB ECHELLE BIAS 0.0 "" 910-StanCal-norm 100319512 1.00 "" 1 2021-02-10T18:27:55 2021-02-10T20:02:43 1 2021-02-10T18:27:55 2021-02-10T18:31:56 2 2021-02-10T18:28:47 2021-02-10T18:29:47 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2021-02-10 True True BIAS "" -596.52323555 -596.52323555 ESO-2.2m FEROS 60.A-9700(A) "OBSERVATORY, L" CALIB ECHELLE BIAS 0.0 "" 910-StanCal-norm 100319512 1.00 "" 1 2021-02-10T18:27:55 2021-02-10T20:02:43 1 2021-02-10T18:27:55 2021-02-10T18:31:56 3 2021-02-10T18:29:37 2021-02-10T18:30:37 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2021-02-10 True True BIAS "" -596.52323555 -596.52323555 ESO-2.2m FEROS 60.A-9700(A) "OBSERVATORY, L" CALIB ECHELLE BIAS 0.0 "" 910-StanCal-norm 100319512 1.00 "" 1 2021-02-10T18:27:55 2021-02-10T20:02:43 1 2021-02-10T18:27:55 2021-02-10T18:31:56 4 2021-02-10T18:30:24 2021-02-10T18:31:24 0.000 0.000 0.000 0.000 0.000 0.000 0.000
