# %ECSV 0.9
# ---
# datatype:
# - {name: period, datatype: int32, description: ESO observing period}
# - {name: night, datatype: string, description: observing night}
# - {name: internal, datatype: bool, description: flag for internal instrument calibration}
# - {name: slew, datatype: bool, description: flag for non-tracking observations}
# - {name: object, datatype: string, description: name of the observed object}
# - {name: target, datatype: string, description: name of the astronomical target}
# - name: ra
#   unit: deg
#   datatype: float64
#   description: Right Ascension FK5 J2000
#   meta: !!omap
#   - {ucd: pos.eq.ra;meta.main}
# - name: dec
#   unit: deg
#   datatype: float64
#   description: Declination FK5 J2000
#   meta: !!omap
#   - {ucd: pos.eq.dec;meta.main}
# - {name: telescope, datatype: string, description: telescope name}
# - {name: instrument, datatype: string, description: instrument name}
# - {name: prog_id, datatype: string, description: ESO programme ID}
# - {name: pi, datatype: string, description: name of the principal investigator}
# - {name: dp_cat, datatype: string, description: purpose of observation}
# - {name: dp_tech, datatype: string, description: observing technique}
# - {name: dp_type, datatype: string, description: type of exposure}
# - name: exposure
#   unit: s
#   datatype: float32
#   format: .1f
#   description: cumulated exposure time
#   meta: !!omap
#   - {ucd: time.duration;obs.exposure}
# - {name: filter_path, datatype: string, description: list of filtres in the optical path}
# - {name: ob_name, datatype: string, description: name of the observing block}
# - name: ob_id
#   datatype: int32
#   description: observing block ID number
#   meta: !!omap
#   - {ucd: meta.id;obs;meta.main}
# - {name: tel_airm, datatype: float32, format: .2f, description: reported airmass during the exposure}
# - {name: tel_ambi_fwhm, unit: arcsec, datatype: float32, format: .2f, description: reported DIMM seeing during the exposure}
# - name: ob_no
#   datatype: int32
#   description: unique OB number within the night
#   meta: !!omap
#   - {ucd: meta.id;obs;meta.number}
# - {name: ob_start, datatype: string, description: estimated start time of the execution of the OB}
# - {name: ob_end, datatype: string, description: estimated end time of the execution of the OB}
# - name: tpl_no
#   datatype: int32
#   description: template number within OB
#   meta: !!omap
#   - {ucd: meta.id;obs;meta.number}
# - {name: tpl_start, datatype: string, description: time at start of observing template}
# - {name: tpl_end, datatype: string, description: estimated end time of the execution of the observing template}
# - name: exp_no
#   datatype: int32
#   description: exposure number within template
#   meta: !!omap
#   - {ucd: meta.id;obs;meta.number}
# - {name: exp_start, datatype: string, description: time at start of exposure}
# - {name: exp_end, datatype: string, description: estimated end time of the exposure}
# - {name: night_hours, unit: h, datatype: float64, format: .3f, description: number of hours of night conditions}
# - {name: dark_hours, unit: h, datatype: float64, format: .3f, description: number of hours of dark conditions}
# - {name: astronomical_twilight_hours, unit: h, datatype: float64, format: .3f, description: number of hours of astronomicaltwilight
#     conditions}
# - {name: nautical_twilight_hours, unit: h, datatype: float64, format: .3f, description: number of hours of nauticaltwilight conditions}
# - {name: civil_twilight_hours, unit: h, datatype: float64, format: .3f, description: number of hours of civiltwilight conditions}
# - {name: sun_down_hours, unit: h, datatype: float64, format: .3f, description: number of hours of sundown conditions}
# - {name: total_hours, unit: h, datatype: float64, format: .3f, description: number of hours}
# meta: !!omap
# - {site: La Silla Observatory}
# - {lon: -70.73000000000005}
# - {lat: -29.25666666666666}
# - {alt: 2346.999999998842}
# - {telescope: ESO-2.2m}
# - {period: 106}
# - {night: '2021-02-11'}
# - {rootdir: .}
# - ephemeris:
#     astronomical_twilight_hours: 1.0163888888888888
#     astronomical_twilight_time:
#     - ['2021-02-12T00:26:52', '2021-02-12T00:57:21']
#     - ['2021-02-12T08:57:15', '2021-02-12T09:27:45']
#     civil_twilight_hours: 0.8288888888888889
#     civil_twilight_time:
#     - ['2021-02-11T23:32:29', '2021-02-11T23:57:21']
#     - ['2021-02-12T09:57:16', '2021-02-12T10:22:08']
#     dark_hours: 7.998333333333333
#     dark_time:
#     - !!python/tuple ['2021-02-12T00:57:21', '2021-02-12T08:57:15']
#     moon_illumination: 0.0036296908664274485
#     nautical_twilight_hours: 0.9838888888888889
#     nautical_twilight_time:
#     - ['2021-02-11T23:57:21', '2021-02-12T00:26:52']
#     - ['2021-02-12T09:27:45', '2021-02-12T09:57:16']
#     night_hours: 7.998333333333333
#     night_time:
#     - ['2021-02-12T00:57:21', '2021-02-12T08:57:15']
#     sun_down_hours: 10.8275
#     sun_down_time:
#     - ['2021-02-11T23:32:29', '2021-02-12T10:22:08']
# - {roodir: .}
# - {wwwdir: /data/www/twoptwo.com}
# schema: astropy-2.0
period night internal slew object target ra dec telescope instrument prog_id pi dp_cat dp_tech dp_type exposure filter_path ob_name ob_id tel_airm tel_ambi_fwhm ob_no ob_start ob_end tpl_no tpl_start tpl_end exp_no exp_start exp_end night_hours dark_hours astronomical_twilight_hours nautical_twilight_hours civil_twilight_hours sun_down_hours total_hours
106 2021-02-11 False True FLAT,SCREEN "" 27.75268388 -80.09759 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SCREEN 0.8 BB#RC/162_ESO844 DomeFlatsP106 100185402 1.58 0.80 2 2021-02-11T21:04:42 2021-02-11T21:09:00 1 2021-02-11T21:04:42 2021-02-11T21:09:00 2 2021-02-11T21:05:15 2021-02-11T21:06:15 0.000 0.000 0.000 0.000 0.000 0.000 0.072
106 2021-02-11 False True FLAT,SCREEN "" 27.92986888 -80.09742 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SCREEN 0.8 BB#RC/162_ESO844 DomeFlatsP106 100185402 1.58 0.80 2 2021-02-11T21:04:42 2021-02-11T21:09:00 1 2021-02-11T21:04:42 2021-02-11T21:09:00 3 2021-02-11T21:05:56 2021-02-11T21:06:56 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2021-02-11 False True FLAT,SCREEN "" 28.09861388 -80.09725 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SCREEN 0.8 BB#RC/162_ESO844 DomeFlatsP106 100185402 1.58 0.80 2 2021-02-11T21:04:42 2021-02-11T21:09:00 1 2021-02-11T21:04:42 2021-02-11T21:09:00 4 2021-02-11T21:06:37 2021-02-11T21:07:37 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2021-02-11 False True FLAT,SCREEN "" 28.27579194 -80.09708 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SCREEN 0.8 BB#RC/162_ESO844 DomeFlatsP106 100185402 1.58 0.80 2 2021-02-11T21:04:42 2021-02-11T21:09:00 1 2021-02-11T21:04:42 2021-02-11T21:09:00 5 2021-02-11T21:07:19 2021-02-11T21:08:19 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2021-02-11 False True FLAT,SCREEN "" 28.45296888 -80.09691 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FLAT,SCREEN 0.8 BB#RC/162_ESO844 DomeFlatsP106 100185402 1.58 0.80 2 2021-02-11T21:04:42 2021-02-11T21:09:00 1 2021-02-11T21:04:42 2021-02-11T21:09:00 6 2021-02-11T21:08:00 2021-02-11T21:09:00 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2021-02-11 False False FOCUS FOCUS 58.41412888 -0.07631 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" ACQUISITION NONE NONE 0.0 "" FocusWithFullFrameSequence 100119956 1.20 0.80 3 2021-02-12T00:17:55 2021-02-12T00:21:00 1 2021-02-12T00:17:55 2021-02-12T00:17:55 1 2021-02-12T00:17:55 2021-02-12T00:17:55 0.000 0.000 0.000 0.000 0.000 0.000 0.000
106 2021-02-11 False False FOCUS FOCUS 58.41412888 -0.07631 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FOCUS 19.9 BB#RC/162_ESO844 FocusWithFullFrameSequence 100119956 1.20 0.80 3 2021-02-12T00:17:55 2021-02-12T00:21:00 3 2021-02-12T00:17:55 2021-02-12T00:19:24 1 2021-02-12T00:18:31 2021-02-12T00:19:50 0.000 0.000 0.000 0.025 0.000 0.025 0.025
106 2021-02-11 False False FOCUS FOCUS 58.41429 -0.07658 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FOCUS 20.0 BB#RC/162_ESO844 FocusWithFullFrameSequence 100119956 1.20 0.80 3 2021-02-12T00:17:55 2021-02-12T00:21:00 4 2021-02-12T00:19:24 2021-02-12T00:21:00 1 2021-02-12T00:19:41 2021-02-12T00:21:00 0.000 0.000 0.000 0.027 0.000 0.027 0.027
106 2021-02-11 False False FOCUS FOCUS 58.41407388 -0.07658 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" ACQUISITION NONE NONE 0.0 "" FocusWithFullFrameSequence 100119956 1.21 0.80 4 2021-02-12T00:21:00 2021-02-12T00:25:12 1 2021-02-12T00:21:00 2021-02-12T00:21:25 1 2021-02-12T00:21:00 2021-02-12T00:21:25 0.000 0.000 0.000 0.007 0.000 0.007 0.007
106 2021-02-11 False False FOCUS FOCUS 58.41407388 -0.07658 ESO-2.2m WFI 60.A-9120(A) "2P2 TEAM 20" CALIB IMAGE FOCUS 20.0 BB#RC/162_ESO844 FocusWithFullFrameSequence 100119956 1.21 0.80 4 2021-02-12T00:21:00 2021-02-12T00:25:12 3 2021-02-12T00:21:25 2021-02-12T00:22:34 1 2021-02-12T00:21:42 2021-02-12T00:23:01 0.000 0.000 0.000 0.019 0.000 0.019 0.019
